"State","Biden","Trump"
"Massachusetts",62.875,28.75
"New York",58.875,31.875
"District Of Columbia",NA,NA
"Maryland",60.3,31
"Delaware",56,36.6666666666667
"California",60.1176470588235,31.4117647058824
"Hawaii",NA,NA
"Vermont",NA,NA
"Connecticut",51.75,33.75
"New Jersey",55.5714285714286,36.4285714285714
"Illinois",NA,NA
"Maine CD1",56.9,34.3
"Rhode Island",NA,NA
"Washington",57.8,32.6
"Maine",52,39.8666666666667
"New Hampshire",51.4347826086956,43.304347826087
"Colorado",48.5,39
"New Mexico",53.6,41
"Virginia",51.0666666666667,40.2
"Oregon",51,39
"Wisconsin",51,44.3
"Minnesota",48,43.7
"North Carolina",47.6,47.8
"Florida",47.9,47
"Georgia",47.2,48.2
"Pennsylvania",48.7,47.5
"Ohio",46.3,47.3
"Michigan",50,45.8
"Iowa",45.6,47.6
"Arizona",47.9,47
"Nevada",48.7,46.3
"Texas",46.5,47.8
"Maine CD2",46.1666666666667,44.0833333333333
"Nebraska CD2",49,44
"Missouri",43.9,50.7
"Indiana",40,51.3333333333333
"Montana",43.25,51.625
"South Carolina",43.8888888888889,50.2222222222222
"Alaska",42,46.5
"Kansas",40,49.3333333333333
"Louisiana",36.6666666666667,55.6666666666667
"Mississippi",41,56
"Utah",36.5,49.6
"Arkansas",37,56.6666666666667
"South Dakota",NA,NA
"Alabama",38,57.6666666666667
"Idaho",NA,NA
"North Dakota",NA,NA
"West Virginia",38.3333333333333,55.6666666666667
"Tennessee",39,53
"Kentucky",39.25,54.75
"Nebraska",NA,NA
"Oklahoma",NA,NA
"Wyoming",NA,NA
