name,url,sName,num1,num2
Massachusetts,https://www.realclearpolitics.com/epolls/2020/president/ma/massachusetts_trump_vs_biden-6876.html,MA,11,2
New York,https://www.realclearpolitics.com/epolls/2020/president/ny/new_york_trump_vs_biden-7040.html,NY,29,2
District Of Columbia,https://www.realclearpolitics.com/epolls/2020/president/2020_elections_electoral_college_map.html,DC,3,2
Maryland,https://www.realclearpolitics.com/epolls/2020/president/md/maryland_trump_vs_biden-7209.html,MD,10,2
Delaware,https://www.realclearpolitics.com/epolls/2020/president/de/delaware_trump_vs_biden-7028.html,DE,3,2
California,https://www.realclearpolitics.com/epolls/2020/president/ca/california_trump_vs_biden-6755.html,CA,55,2
Hawaii,https://www.realclearpolitics.com/epolls/2020/president/2020_elections_electoral_college_map.html,HI,4,2
Vermont,https://www.realclearpolitics.com/epolls/2020/president/2020_elections_electoral_college_map.html,VT,3,2
Connecticut,https://www.realclearpolitics.com/epolls/2020/president/ct/connecticut_trump_vs_biden-6999.html,CT,7,3
New Jersey,https://www.realclearpolitics.com/epolls/2020/president/nj/new_jersey_trump_vs_biden-7193.html,NJ,14,3
Illinois,https://www.realclearpolitics.com/epolls/2020/president/il/illinois_trump_vs_biden-7194.html,IL,20,2
Maine CD1,https://www.realclearpolitics.com/epolls/2020/president/mecd1/maine_cd1_trump_vs_biden-7214.html,ME1,1,3
Rhode Island,https://www.realclearpolitics.com/epolls/2020/president/2020_elections_electoral_college_map.html,RI,4,2
Washington,https://www.realclearpolitics.com/epolls/2020/president/wa/washington_trump_vs_biden-7060.html,WA,12,3
Maine,https://www.realclearpolitics.com/epolls/2020/president/me/maine_trump_vs_biden-6922.html,ME,2,3
New Hampshire,https://www.realclearpolitics.com/epolls/2020/president/nh/new_hampshire_trump_vs_biden-6779.html,NH,4,3
Colorado,https://www.realclearpolitics.com/epolls/2020/president/co/colorado_trump_vs_biden-6940.html,CO,9,3
New Mexico,https://www.realclearpolitics.com/epolls/2020/president/nm/new_mexico_trump_vs_biden-6993.html,NM,5,3
Virginia,https://www.realclearpolitics.com/epolls/2020/president/va/virginia_trump_vs_biden-6988.html,VA,13,3
Oregon,https://www.realclearpolitics.com/epolls/2020/president/or/oregon_trump_vs_biden-7261.html,OR,7,3
Wisconsin,https://www.realclearpolitics.com/epolls/2020/president/wi/wisconsin_trump_vs_biden-6849.html,WI,10,3
Minnesota,https://www.realclearpolitics.com/epolls/2020/president/mn/minnesota_trump_vs_biden-6966.html,MN,10,3
North Carolina,https://www.realclearpolitics.com/epolls/2020/president/nc/north_carolina_trump_vs_biden-6744.html,NC,15,3
Florida,https://www.realclearpolitics.com/epolls/2020/president/fl/florida_trump_vs_biden-6841.html,FL,29,3
Georgia,https://www.realclearpolitics.com/epolls/2020/president/ga/georgia_trump_vs_biden-6974.html,GA,16,3
Pennsylvania,https://www.realclearpolitics.com/epolls/2020/president/pa/pennsylvania_trump_vs_biden-6861.html,PA,20,3
Ohio,https://www.realclearpolitics.com/epolls/2020/president/oh/ohio_trump_vs_biden-6765.html,OH,18,3
Michigan,https://www.realclearpolitics.com/epolls/2020/president/mi/michigan_trump_vs_biden-6761.html,MI,16,3
Iowa,https://www.realclearpolitics.com/epolls/2020/president/ia/iowa_trump_vs_biden-6787.html,IA,6,3
Arizona,https://www.realclearpolitics.com/epolls/2020/president/az/arizona_trump_vs_biden-6807.html,AZ,11,3
Nevada,https://www.realclearpolitics.com/epolls/2020/president/nv/nevada_trump_vs_biden-6867.html,NV,6,3
Texas,https://www.realclearpolitics.com/epolls/2020/president/tx/texas_trump_vs_biden-6818.html,TX,38,3
Maine CD2,https://www.realclearpolitics.com/epolls/2020/president/mecd2/maine_cd2_trump_vs_biden-7215.html,ME2,1,3
Nebraska CD2,https://www.realclearpolitics.com/epolls/2020/president/necd2/nebraska_cd2_trump_vs_biden-7279.html,NE2,1,3
